epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.520312488079071,0.5171630382537842,9.999999747378752e-05,0.7532284259796143,0.5136268138885498,0.765625,0.5,0.96875,0.6919053792953491,0.5,1.0
1,0.5640624761581421,0.5502587556838989,9.999999747378752e-05,0.7076388597488403,0.5574229955673218,0.621874988079071,0.5,0.5562499761581421,0.6927369832992554,0.5,1.0
2,0.5687500238418579,0.5881152153015137,9.999999747378752e-05,0.6941912770271301,0.5621469020843506,0.621874988079071,0.5,0.7250000238418579,0.6896024942398071,0.5,1.0
3,0.5718749761581421,0.5901025533676147,9.999999747378752e-05,0.6864612102508545,0.5723270177841187,0.5687500238418579,0.9437500238418579,0.724609375,0.6889263987541199,0.9863013625144958,0.8999999761581421
4,0.5531250238418579,0.5741894841194153,9.999999747378752e-05,0.7114595174789429,0.5541401505470276,0.543749988079071,0.7562500238418579,0.9457812905311584,0.6868891716003418,1.0,0.512499988079071
5,0.581250011920929,0.6041650176048279,9.999999747378752e-05,0.6915749907493591,0.5783132314682007,0.6000000238418579,0.699999988079071,0.8512500524520874,0.686458945274353,1.0,0.4000000059604645
6,0.578125,0.6263964772224426,9.999999747378752e-05,0.6800302267074585,0.5791139006614685,0.5718749761581421,0.90625,0.9576562643051147,0.6862199306488037,0.9850746393203735,0.824999988079071
0,0.5218750238418579,0.4939306378364563,9.999999747378752e-06,0.9383861422538757,0.5152173638343811,0.7406250238418579,0.53125,0.737500011920929,0.6913536787033081,1.0,0.0625
1,0.5234375,0.5255126953125,9.999999747378752e-06,0.8709861636161804,0.5161290168762207,0.75,0.5,0.699999988079071,0.6917786598205566,0.0,0.0
2,0.5218750238418579,0.5330712795257568,9.999999747378752e-06,0.8101201057434082,0.5174129605293274,0.6499999761581421,0.5,0.831250011920929,0.6933833956718445,0.0,0.0
3,0.559374988079071,0.5971387028694153,2.9999998787388904e-06,0.74029541015625,0.5494791865348816,0.659375011920929,0.5,0.6937500238418579,0.6959694623947144,0.0,0.0
4,0.5484374761581421,0.5728124976158142,2.9999998787388904e-06,0.7722936868667603,0.5413333177566528,0.6343749761581421,0.5,0.7764062285423279,0.6962561011314392,0.0,0.0
5,0.5765625238418579,0.5901269912719727,8.999999749903509e-07,0.7518150210380554,0.5744680762290955,0.590624988079071,0.5,0.901562511920929,0.695861279964447,0.0,0.0
6,0.546875,0.5537548661231995,8.999999749903509e-07,0.777978777885437,0.5390625,0.6468750238418579,0.5,0.7538281679153442,0.6951764822006226,0.0,0.0
7,0.565625011920929,0.5836963057518005,2.699999868127634e-07,0.7487390637397766,0.5603448152542114,0.609375,0.5,0.8414843678474426,0.6922959089279175,0.0,0.0
8,0.5296875238418579,0.5457422137260437,2.699999868127634e-07,0.7786399722099304,0.5257452726364136,0.606249988079071,0.5,0.9204687476158142,0.6890779137611389,0.0,0.0
9,0.5484374761581421,0.5657567977905273,2.699999868127634e-07,0.7826353311538696,0.5413333177566528,0.6343749761581421,0.5,0.8928906917572021,0.6875664591789246,0.0,0.0
10,0.5562499761581421,0.5631786584854126,2.699999868127634e-07,0.7765147089958191,0.5511363744735718,0.606249988079071,0.5062500238418579,0.9082812666893005,0.6859811544418335,1.0,0.012500000186264515
11,0.574999988079071,0.5735644698143005,2.699999868127634e-07,0.7584218382835388,0.5659340620040894,0.643750011920929,0.5,0.8935156464576721,0.6873157620429993,0.0,0.0
12,0.543749988079071,0.5456151962280273,2.699999868127634e-07,0.7999157905578613,0.5370370149612427,0.6343749761581421,0.5,0.7628124952316284,0.690413773059845,0.0,0.0
13,0.5406249761581421,0.5459277033805847,8.099999604382901e-08,0.789964497089386,0.5329949259757996,0.65625,0.5,0.5235937833786011,0.6940272450447083,0.0,0.0
